numeric_rnti_stratum,epochs,numeric_rnti_count,proposal_benign_friction_pct,reference_benign_friction_pct,friction_difference_pp,proposal_malicious_allow_pct,reference_malicious_allow_pct,exposure_difference_pp,exposure_ci_lower_pp,exposure_ci_upper_pp,proposal_not_isolated_pct,reference_not_isolated_pct,proposal_transitions_per_1000_epochs,reference_transitions_per_1000_epochs,transition_rate_ratio,transition_ratio_ci_lower,transition_ratio_ci_upper,coverage_difference_pp,coverage_ci_lower_pp,coverage_ci_upper_pp,proposal_friction_ci_lower_pct,proposal_friction_ci_upper_pct,proposal_friction_one_sided_95_upper_pct,proposal_friction_point_within_1pct,proposal_friction_ucb_within_1pct,median_capped_delay_difference_s,four_pairwise_gates_pass,scope_note
Seen during model training,62185,470,0.558580,0.484339,0.074242,21.702705,26.396059,-4.693354,-5.612420,-3.764517,29.643942,26.396059,35.683847,86.226582,0.413838,0.387840,0.443497,-3.318584,-4.762152,-1.863354,0.321090,0.845734,0.795474,true,true,0.000000,true,numeric RNTI only; no durable-identity interpretation
Unseen during model training,39376,274,1.288660,0.924063,0.364596,23.235896,27.411795,-4.175899,-4.991454,-3.343998,29.465655,27.411795,37.306989,83.655018,0.445962,0.414471,0.482550,-2.000000,-3.630363,-0.651466,0.802590,1.829732,1.727084,false,false,0.000000,true,numeric RNTI only; no durable-identity interpretation
